id,metri_quadri,num_stanze,piano,ha_balcone,ha_garage,distanza_centro_km,citta,anno_costruzione,prezzo_euro
1,45,2,1,0,0,8.5,Milano,1975,125000
2,70,3,3,1,0,3.2,Milano,1990,245000
3,100,4,5,1,1,1.5,Milano,2005,420000
4,55,2,2,1,0,5.0,Roma,1980,165000
5,85,3,4,1,1,2.0,Roma,1995,310000
6,120,5,1,1,1,0.8,Roma,2010,520000
7,40,1,6,0,0,10.0,Napoli,1970,75000
8,65,3,2,1,0,4.5,Napoli,1985,145000
9,90,4,3,1,1,1.2,Napoli,2000,255000
10,50,2,1,0,0,7.0,Torino,1978,98000
11,75,3,4,1,0,3.0,Torino,1992,185000
12,110,4,2,1,1,1.0,Torino,2008,340000
13,60,2,5,1,0,6.0,Firenze,1982,175000
14,80,3,3,1,0,2.5,Firenze,1998,280000
15,130,5,1,1,1,0.5,Firenze,2015,550000
16,48,2,2,0,0,9.0,Bologna,1973,110000
17,72,3,1,1,1,4.0,Bologna,1991,195000
18,95,4,4,1,1,1.8,Bologna,2003,320000
19,55,2,3,1,0,6.5,Milano,1988,180000
20,105,4,6,1,1,2.2,Milano,2012,450000
21,35,1,1,0,0,12.0,Roma,1968,85000
22,78,3,2,1,0,3.8,Roma,1997,275000
23,115,5,3,1,1,0.6,Napoli,2018,480000
24,62,2,4,1,0,5.5,Torino,1986,155000
25,88,3,1,1,1,2.8,Firenze,2001,295000
26,42,1,7,0,0,11.0,Bologna,1971,82000
27,68,3,2,1,0,4.2,Milano,1993,215000
28,98,4,5,1,1,1.3,Roma,2007,395000
29,53,2,3,0,0,7.5,Napoli,1976,115000
30,82,3,1,1,1,3.5,Torino,1999,225000
