altessa,peso,eta
166,89,49
177,81,32
195,58,59
173,62,64
156,55,53
186,52,44
200,51,57
176,79,31
189,100,19
151,79,63
187,67,63
178,84,24
153,60,53
194,97,49
196,86,37
172,100,38
194,95,30
192,56,41
194,76,62
154,50,27
163,78,23
188,50,54
159,74,55
155,90,54
180,64,33
162,94,51
166,66,37
170,94,31
179,77,51
169,97,65
171,91,21
192,70,61
172,54,21
169,98,30
193,95,25
186,52,63
165,90,21
171,78,60
157,59,28
150,65,52
179,70,35
183,92,40
173,51,52
182,79,53
180,52,22
195,68,57
159,97,43
194,50,60
163,56,28
191,87,23
161,94,26
151,93,53
198,84,63
184,69,21
182,68,29
177,66,51
151,72,38
192,73,38
172,73,42
197,66,63
196,97,45
178,94,18
199,88,25
157,96,41
200,67,26
197,87,28
190,84,25
180,53,38
177,91,60
152,81,59
194,77,49
187,69,42
169,54,40
160,56,37
193,53,35
152,86,43
186,62,40
172,91,41
154,73,40
158,56,56
165,57,50
197,100,20
177,92,25
165,59,35
157,60,38
194,87,38
191,88,22
187,85,44
175,73,30
184,84,41
181,70,42
188,61,34
174,90,61
194,70,21
195,61,54
161,83,42
167,95,44
171,83,59
162,55,19
168,68,34
